31-03-2026 19:53:00 | POST | cafeteria-api/produtos
31-03-2026 19:53:00 | POST | cafeteria-api/produtos
31-03-2026 19:55:05 | GET | Cafeteria-API/produtos
31-03-2026 19:55:17 | GET | Cafeteria-API/produtos
31-03-2026 19:55:20 | GET | Cafeteria-API/produtos
31-03-2026 19:59:46 | GET | Cafeteria-API/produtos
31-03-2026 19:59:50 | GET | Cafeteria-API/produtos
31-03-2026 19:59:52 | GET | Cafeteria-API/produtos
31-03-2026 20:00:00 | GET | Cafeteria-API/produtos
31-03-2026 20:00:03 | GET | Cafeteria-API/produtos
31-03-2026 20:00:06 | GET | Cafeteria-API/produtos
31-03-2026 20:00:08 | GET | Cafeteria-API/produtos
31-03-2026 20:00:11 | GET | Cafeteria-API/produtos
31-03-2026 20:00:14 | GET | Cafeteria-API/produtos
31-03-2026 20:00:17 | GET | Cafeteria-API/produtos
31-03-2026 20:00:18 | GET | Cafeteria-API/produtos
31-03-2026 20:00:23 | GET | Cafeteria-API/produtos
31-03-2026 20:00:46 | GET | Cafeteria-API/produtos
31-03-2026 20:00:49 | GET | Cafeteria-API/produtos
31-03-2026 20:00:51 | GET | Cafeteria-API/produtos
31-03-2026 20:01:24 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:01:24 | POST | cafeteria-api/produtos
31-03-2026 20:01:25 | POST | cafeteria-api/produtos
31-03-2026 20:01:25 | POST | cafeteria-api/produtos
31-03-2026 20:02:00 | GET | Cafeteria-API/produtos
31-03-2026 20:02:02 | GET | Cafeteria-API/produtos
31-03-2026 20:02:04 | GET | Cafeteria-API/produtos
31-03-2026 20:02:24 | GET | Cafeteria-API/produtos
31-03-2026 20:02:38 | GET | Cafeteria-API/produtos
31-03-2026 20:02:42 | GET | Cafeteria-API/produtos
31-03-2026 20:03:08 | GET | Cafeteria-API/produtos
31-03-2026 20:03:10 | GET | Cafeteria-API/produtos
31-03-2026 20:03:18 | GET | Cafeteria-API/produtos
31-03-2026 20:03:21 | GET | Cafeteria-API/produtos
31-03-2026 20:03:37 | GET | Cafeteria-API/produtos
31-03-2026 20:03:44 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:03:44 | POST | cafeteria-api/produtos
31-03-2026 20:03:44 | POST | cafeteria-api/produtos
31-03-2026 20:03:44 | POST | cafeteria-api/produtos
31-03-2026 20:03:45 | POST | cafeteria-api/produtos
31-03-2026 20:03:45 | POST | cafeteria-api/produtos
31-03-2026 20:03:45 | POST | cafeteria-api/produtos
31-03-2026 20:03:45 | POST | cafeteria-api/produtos
31-03-2026 20:03:45 | POST | cafeteria-api/produtos
31-03-2026 20:03:45 | POST | cafeteria-api/produtos
31-03-2026 20:04:17 | POST | Cafeteria-API/produtos
31-03-2026 20:04:19 | GET | Cafeteria-API/produtos
31-03-2026 20:04:35 | POST | Cafeteria-API/produtos
31-03-2026 20:04:37 | GET | Cafeteria-API/produtos
31-03-2026 20:07:05 | GET | Cafeteria-API/produtos
31-03-2026 20:07:12 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:07:12 | POST | cafeteria-api/produtos
31-03-2026 20:07:14 | POST | cafeteria-api/produtos
31-03-2026 20:07:14 | POST | cafeteria-api/produtos
31-03-2026 20:07:14 | POST | cafeteria-api/produtos
31-03-2026 20:07:14 | POST | cafeteria-api/produtos
31-03-2026 20:07:14 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:15 | POST | cafeteria-api/produtos
31-03-2026 20:07:16 | POST | cafeteria-api/produtos
31-03-2026 20:07:16 | POST | cafeteria-api/produtos
31-03-2026 20:07:16 | POST | cafeteria-api/produtos
31-03-2026 20:07:16 | POST | cafeteria-api/produtos
31-03-2026 20:07:16 | POST | cafeteria-api/produtos
31-03-2026 20:07:16 | POST | cafeteria-api/produtos
31-03-2026 20:07:17 | POST | cafeteria-api/produtos
31-03-2026 20:07:17 | POST | cafeteria-api/produtos
31-03-2026 20:07:17 | POST | cafeteria-api/produtos
31-03-2026 20:07:17 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:07:17 | POST | cafeteria-api/produtos
31-03-2026 20:07:17 | POST | cafeteria-api/produtos
31-03-2026 20:07:17 | POST | cafeteria-api/produtos
31-03-2026 20:07:54 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:07:54 | POST | cafeteria-api/produtos
31-03-2026 20:10:09 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:10:09 | POST | cafeteria-api/produtos
31-03-2026 20:12:57 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:12:57 | POST | cafeteria-api/produtos
31-03-2026 20:18:15 | GET | Cafeteria-API/produtos
31-03-2026 20:18:26 | GET | Cafeteria-API/produtos
31-03-2026 20:18:29 | GET | Cafeteria-API/produtos
31-03-2026 20:18:35 | GET | Cafeteria-API/produtos
31-03-2026 20:18:36 | GET | Cafeteria-API/produtos
31-03-2026 20:18:40 | GET | Cafeteria-API/produtos
31-03-2026 20:18:48 | OPTIONS | cafeteria-api/produtos
